name,category,size,era,desc,url,imageUrl_s,id,sk1,sk2,sk3
土耳其 毛巾,織品,縱53公分 橫116公分,,,https://digitalarchive.npm.gov.tw/Collection/Detail/1624?dep=X,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=1293482&randomCode=1884334410&maxW=200&maxH=200,南購織001123,南購,織,織品
印度 披肩,織品,縱98公分 橫192公分,,,https://digitalarchive.npm.gov.tw/Collection/Detail/1623?dep=X,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=1303592&randomCode=997780284&maxW=200&maxH=200,南購織000931,南購,織,織品
印度 披肩,織品,縱95公分 橫236公分,,,https://digitalarchive.npm.gov.tw/Collection/Detail/1622?dep=X,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=1303579&randomCode=1474000011&maxW=200&maxH=200,南購織000918,南購,織,織品
印度 披肩,織品,縱117公分 橫240公分,,,https://digitalarchive.npm.gov.tw/Collection/Detail/1621?dep=X,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=659879&randomCode=926534728&maxW=200&maxH=200,南購織000903,南購,織,織品
印度 披肩,織品,縱233公分 橫236公分,,,https://digitalarchive.npm.gov.tw/Collection/Detail/1620?dep=X,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=657834&randomCode=1046022336&maxW=200&maxH=200,南購織000882,南購,織,織品
印度 披肩,織品,縱78公分 橫216公分,,,https://digitalarchive.npm.gov.tw/Collection/Detail/1619?dep=X,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=657988&randomCode=237972812&maxW=200&maxH=200,南購織000868,南購,織,織品
印度 披肩,織品,縱107.5公分 橫258公分,,,https://digitalarchive.npm.gov.tw/Collection/Detail/1618?dep=X,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=1303574&randomCode=394982016&maxW=200&maxH=200,南購織000865,南購,織,織品
印度 披肩,織品,縱110公分 橫256公分,,,https://digitalarchive.npm.gov.tw/Collection/Detail/1617?dep=X,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=1303569&randomCode=277225113&maxW=200&maxH=200,南購織000864,南購,織,織品
印度 披肩,織品,縱111公分 橫245公分,,,https://digitalarchive.npm.gov.tw/Collection/Detail/1616?dep=X,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=1304650&randomCode=2087686848&maxW=200&maxH=200,南購織000863,南購,織,織品
印度 披肩,織品,縱127.5公分 橫313公分,,,https://digitalarchive.npm.gov.tw/Collection/Detail/1615?dep=X,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=657982&randomCode=50701058&maxW=200&maxH=200,南購織000861,南購,織,織品
印度 披肩,織品,縱63公分 橫265公分,,,https://digitalarchive.npm.gov.tw/Collection/Detail/1614?dep=X,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=658113&randomCode=867572220&maxW=200&maxH=200,南購織000860,南購,織,織品
巴基斯坦 披肩,織品,縱137.5公分 橫207.5公分,,,https://digitalarchive.npm.gov.tw/Collection/Detail/1613?dep=X,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=659171&randomCode=694650445&maxW=200&maxH=200,南購織000755,南購,織,織品
緬甸 毯子,織品,縱138.2公分 橫105公分,,,https://digitalarchive.npm.gov.tw/Collection/Detail/1612?dep=X,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=659357&randomCode=889013132&maxW=200&maxH=200,南購織000696,南購,織,織品
泰國 織花長巾,織品,縱38公分 橫441公分,,,https://digitalarchive.npm.gov.tw/Collection/Detail/1611?dep=X,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=1293279&randomCode=6088529&maxW=200&maxH=200,南購織001279,南購,織,織品
中國 筒裙,織品,縱91公分 橫76公分,,,https://digitalarchive.npm.gov.tw/Collection/Detail/1610?dep=X,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=901049&randomCode=1001409807&maxW=200&maxH=200,南購織001292,南購,織,織品
泰國 筒裙,織品,縱95公分 橫85公分,,,https://digitalarchive.npm.gov.tw/Collection/Detail/1609?dep=X,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=1816279&randomCode=68512447&maxW=200&maxH=200,南購織001291,南購,織,織品
泰國 筒裙,織品,縱88公分 橫196公分,,,https://digitalarchive.npm.gov.tw/Collection/Detail/1608?dep=X,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=1817692&randomCode=145286344&maxW=200&maxH=200,南購織001288,南購,織,織品
泰國 筒裙,織品,縱82公分 橫62公分,,,https://digitalarchive.npm.gov.tw/Collection/Detail/1606?dep=X,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=1284934&randomCode=544732174&maxW=200&maxH=200,南購織001267,南購,織,織品
