AcquiredDate,CreatedYear,Creator,Description,imageUrl_s,MainTitle,url,Owner,Size,Type,sk1,sk2,sk3
,,歐陽錦華,,,,https://collections.culture.tw/Object.aspx?SYSUID=23&RNO=MjAwNzAxMDE5MQ==,國立彰化生活美學館,,藝術類\書法,藝術類,書法,彰化生活
,,侯米玲,,,,https://collections.culture.tw/Object.aspx?SYSUID=23&RNO=MjAwNzAxMDE5Mg==,國立彰化生活美學館,,藝術類\書法,藝術類,書法,彰化生活
,,陳錦木,,,,https://collections.culture.tw/Object.aspx?SYSUID=23&RNO=MjAwNzAxMDE5NA==,國立彰化生活美學館,,藝術類\書法,藝術類,書法,彰化生活
,,吳東源,,,,https://collections.culture.tw/Object.aspx?SYSUID=23&RNO=MjAwNzAxMDE5NQ==,國立彰化生活美學館,,藝術類\書法,藝術類,書法,彰化生活
,,黃金陵,,,,https://collections.culture.tw/Object.aspx?SYSUID=23&RNO=MjAwNzAxMDE5Ng==,國立彰化生活美學館,,藝術類\書法,藝術類,書法,彰化生活
,,鄭進財,,,,https://collections.culture.tw/Object.aspx?SYSUID=23&RNO=MjAwNzAxMDE5OA==,國立彰化生活美學館,,藝術類\書法,藝術類,書法,彰化生活
,,胡亦燈,,,,https://collections.culture.tw/Object.aspx?SYSUID=23&RNO=MjAwNzAxMDE5OQ==,國立彰化生活美學館,,藝術類\書法,藝術類,書法,彰化生活
,,黃嘉政,,,,https://collections.culture.tw/Object.aspx?SYSUID=23&RNO=MjAwNzAxMDIwMA==,國立彰化生活美學館,,藝術類\書法,藝術類,書法,彰化生活
,,闕德基,,,,https://collections.culture.tw/Object.aspx?SYSUID=23&RNO=MjAwNzAxMDIwMQ==,國立彰化生活美學館,,藝術類\書法,藝術類,書法,彰化生活
,,戴蘭邨,,,,https://collections.culture.tw/Object.aspx?SYSUID=23&RNO=MjAwNzAxMDIwMg==,國立彰化生活美學館,,藝術類\書法,藝術類,書法,彰化生活
,,王維安,,,,https://collections.culture.tw/Object.aspx?SYSUID=23&RNO=MjAwNzAxMDIwMw==,國立彰化生活美學館,,藝術類\書法,藝術類,書法,彰化生活
,,林亞琳,,,,https://collections.culture.tw/Object.aspx?SYSUID=23&RNO=MjAwNzAxMDIwNA==,國立彰化生活美學館,,藝術類\書法,藝術類,書法,彰化生活
,,朱鵬,,,,https://collections.culture.tw/Object.aspx?SYSUID=23&RNO=MjAwNzAxMDIwNQ==,國立彰化生活美學館,,藝術類\書法,藝術類,書法,彰化生活
,,李銘宗,,,對聯,https://collections.culture.tw/Object.aspx?SYSUID=23&RNO=MjAwNzAxMDIwNg==,國立彰化生活美學館,,藝術類\書法,藝術類,書法,彰化生活
,,陳久泉,,,對聯,https://collections.culture.tw/Object.aspx?SYSUID=23&RNO=MjAwNzAxMDIwNw==,國立彰化生活美學館,,藝術類\書法,藝術類,書法,彰化生活
,,翁坤山,,,對聯,https://collections.culture.tw/Object.aspx?SYSUID=23&RNO=MjAwNzAxMDIwOQ==,國立彰化生活美學館,,藝術類\書法,藝術類,書法,彰化生活
,,嚴明德,,,,https://collections.culture.tw/Object.aspx?SYSUID=23&RNO=MjAwNzAxMDIxMA==,國立彰化生活美學館,,藝術類\書法,藝術類,書法,彰化生活
,,陳美濃,,,,https://collections.culture.tw/Object.aspx?SYSUID=23&RNO=MjAwNzAxMDIxMQ==,國立彰化生活美學館,,藝術類\書法,藝術類,書法,彰化生活
,,林隆達,,,,https://collections.culture.tw/Object.aspx?SYSUID=23&RNO=MjAwNzAxMDIxMg==,國立彰化生活美學館,,藝術類\書法,藝術類,書法,彰化生活
,,曾植邨,,,,https://collections.culture.tw/Object.aspx?SYSUID=23&RNO=MjAwNzAxMDIxNA==,國立彰化生活美學館,,藝術類\書法,藝術類,書法,彰化生活
,,陳嘉子,,,,https://collections.culture.tw/Object.aspx?SYSUID=23&RNO=MjAwNzAxMDIxNQ==,國立彰化生活美學館,,藝術類\書法,藝術類,書法,彰化生活
,,張炳城,,,,https://collections.culture.tw/Object.aspx?SYSUID=23&RNO=MjAwNzAxMDIxNg==,國立彰化生活美學館,,藝術類\書法,藝術類,書法,彰化生活
,,葉力綸,,,,https://collections.culture.tw/Object.aspx?SYSUID=23&RNO=MjAwNzAxMDIxNw==,國立彰化生活美學館,,藝術類\書法,藝術類,書法,彰化生活
,,井松嶺,,,,https://collections.culture.tw/Object.aspx?SYSUID=23&RNO=MjAwNzAxMDIxOA==,國立彰化生活美學館,,藝術類\書法,藝術類,書法,彰化生活
,,洪政男,,,,https://collections.culture.tw/Object.aspx?SYSUID=23&RNO=MjAwNzAxMDIxOQ==,國立彰化生活美學館,,藝術類\書法,藝術類,書法,彰化生活
,,林吉勝,,,,https://collections.culture.tw/Object.aspx?SYSUID=23&RNO=MjAwNzAxMDIyMA==,國立彰化生活美學館,,藝術類\書法,藝術類,書法,彰化生活
,,施孟宏,,,,https://collections.culture.tw/Object.aspx?SYSUID=23&RNO=MjAwNzAxMDIyMQ==,國立彰化生活美學館,,藝術類\書法,藝術類,書法,彰化生活
,,汪中,,,,https://collections.culture.tw/Object.aspx?SYSUID=23&RNO=MjAwNzAxMDIyMw==,國立彰化生活美學館,,藝術類\書法,藝術類,書法,彰化生活
,,宋子芳,,,,https://collections.culture.tw/Object.aspx?SYSUID=23&RNO=MjAwNzAxMDIyNA==,國立彰化生活美學館,,藝術類\書法,藝術類,書法,彰化生活
,,陳和元,,,,https://collections.culture.tw/Object.aspx?SYSUID=23&RNO=MjAwNzAxMDIyNQ==,國立彰化生活美學館,,藝術類\書法,藝術類,書法,彰化生活
,,蘇名震,,,,https://collections.culture.tw/Object.aspx?SYSUID=23&RNO=MjAwNzAxMDIyNg==,國立彰化生活美學館,,藝術類\書法,藝術類,書法,彰化生活
,,陳豐澤,,,,https://collections.culture.tw/Object.aspx?SYSUID=23&RNO=MjAwNzAxMDIyNw==,國立彰化生活美學館,,藝術類\書法,藝術類,書法,彰化生活
,,鄭清和,,,,https://collections.culture.tw/Object.aspx?SYSUID=23&RNO=MjAwNzAxMDIyOA==,國立彰化生活美學館,,藝術類\書法,藝術類,書法,彰化生活
,,吳超群,,,,https://collections.culture.tw/Object.aspx?SYSUID=23&RNO=MjAwNzAxMDIyOQ==,國立彰化生活美學館,,藝術類\書法,藝術類,書法,彰化生活
,,宋良銘,,,,https://collections.culture.tw/Object.aspx?SYSUID=23&RNO=MjAwNzAxMDIzMA==,國立彰化生活美學館,,藝術類\書法,藝術類,書法,彰化生活
,,吳稚暉,,,對聯,https://collections.culture.tw/Object.aspx?SYSUID=23&RNO=MjAwNzAxMDIzMQ==,國立彰化生活美學館,,藝術類\書法,藝術類,書法,彰化生活
,,伏嘉謨,,,對聯,https://collections.culture.tw/Object.aspx?SYSUID=23&RNO=MjAwNzAxMDIzMg==,國立彰化生活美學館,,藝術類\書法,藝術類,書法,彰化生活
,,王昌煥,,,對聯,https://collections.culture.tw/Object.aspx?SYSUID=23&RNO=MjAwNzAxMDIzMw==,國立彰化生活美學館,,藝術類\書法,藝術類,書法,彰化生活
,,徐谷蓭,,,對聯,https://collections.culture.tw/Object.aspx?SYSUID=23&RNO=MjAwNzAxMDIzNA==,國立彰化生活美學館,,藝術類\書法,藝術類,書法,彰化生活
