AcquiredDate,CreatedYear,Creator,Description,imageUrl_s,MainTitle,url,Owner,Size,Type,sk1,sk2,sk3
,,,,,福壽,https://collections.culture.tw/Object.aspx?SYSUID=24&RNO=MjAxNDAxMDg3,國立新竹生活美學館,,藝術類\書法,藝術類,書法,新竹生活
,,,,,錄孟子篇,https://collections.culture.tw/Object.aspx?SYSUID=24&RNO=MjAxNDAxMDg4,國立新竹生活美學館,,藝術類\書法,藝術類,書法,新竹生活
,,,,,癸酉季冬,https://collections.culture.tw/Object.aspx?SYSUID=24&RNO=MjAxNDAxMDg5,國立新竹生活美學館,,藝術類\書法,藝術類,書法,新竹生活
,,,,,不惑之慶,https://collections.culture.tw/Object.aspx?SYSUID=24&RNO=MjAxNDAxMDkw,國立新竹生活美學館,,藝術類\書法,藝術類,書法,新竹生活
,,,,,無題,https://collections.culture.tw/Object.aspx?SYSUID=24&RNO=MjAxNDAxMDkx,國立新竹生活美學館,,藝術類\書法,藝術類,書法,新竹生活
,,,,,知足常樂,https://collections.culture.tw/Object.aspx?SYSUID=24&RNO=MjAxNDAxMDky,國立新竹生活美學館,,藝術類\書法,藝術類,書法,新竹生活
,,,,,甲古文字集,https://collections.culture.tw/Object.aspx?SYSUID=24&RNO=MjAxNDAxMDkz,國立新竹生活美學館,,藝術類\書法,藝術類,書法,新竹生活
,,,作品以細膩筆觸描繪遊人在北竿悠閒賞景的時光。,,馬祖北竿芹壁悠閒之遊人,https://collections.culture.tw/Object.aspx?SYSUID=24&RNO=MjAxNDAxMDk0,國立新竹生活美學館,,藝術類\水墨畫,藝術類,水墨畫,新竹生活
,,,作品呈現雪花飄落的浪漫。,,雪花,https://collections.culture.tw/Object.aspx?SYSUID=24&RNO=MjAxNDAxMDk1,國立新竹生活美學館,,藝術類\水墨畫,藝術類,水墨畫,新竹生活
,,,,,蘇軾前赤壁賦,https://collections.culture.tw/Object.aspx?SYSUID=24&RNO=MjAxNDAxMDk2,國立新竹生活美學館,,藝術類\書法,藝術類,書法,新竹生活
,,,以簽字筆速寫本館門口外貌。,,國立新竹生活美學館風情,https://collections.culture.tw/Object.aspx?SYSUID=24&RNO=MjAxNDAxMDk3,國立新竹生活美學館,,藝術類\素描,藝術類,素描,新竹生活
,,,於101年參與本館卡蹓馬祖寫生活動描繪北竿芹壁海岸之光景。,,北竿芹壁海岸,https://collections.culture.tw/Object.aspx?SYSUID=24&RNO=MjAxNDAxMDk4,國立新竹生活美學館,,藝術類\油畫,藝術類,油畫,新竹生活
,,,作品描繪位於新竹市中心之東門城。,,東門城,https://collections.culture.tw/Object.aspx?SYSUID=24&RNO=MjAxNDAxMDk5,國立新竹生活美學館,,藝術類\油畫,藝術類,油畫,新竹生活
,,,作品描繪位於新竹縣之五指山。,,五指山,https://collections.culture.tw/Object.aspx?SYSUID=24&RNO=MjAxNDAxMTAw,國立新竹生活美學館,,藝術類\油畫,藝術類,油畫,新竹生活
,,,於102年參與本館卡蹓馬祖寫生活動描繪馬祖東引一線天之光景。,,馬祖東引一線天,https://collections.culture.tw/Object.aspx?SYSUID=24&RNO=MjAxNDAxMTAx,國立新竹生活美學館,,藝術類\油畫,藝術類,油畫,新竹生活
,,,作品描繪馬祖民居風情。,,馬祖情（一）,https://collections.culture.tw/Object.aspx?SYSUID=24&RNO=MjAxNDAxMTAy,國立新竹生活美學館,,藝術類\油畫,藝術類,油畫,新竹生活
,,,作品描繪東湧燈塔及蔚藍的海面。,,馬祖情（五）,https://collections.culture.tw/Object.aspx?SYSUID=24&RNO=MjAxNDAxMTAz,國立新竹生活美學館,,藝術類\油畫,藝術類,油畫,新竹生活
,,李寧<br/>白露洋<br/>鄧涵,,,海邊,https://collections.culture.tw/Object.aspx?SYSUID=24&RNO=MjAxNDAxMTA0,國立新竹生活美學館,,藝術類\水彩畫,藝術類,水彩畫,新竹生活
,,林漢鼎林漢鼎,,,植物-甲,https://collections.culture.tw/Object.aspx?SYSUID=24&RNO=MjAxNDAxMTA1,國立新竹生活美學館,,藝術類\雕刻,藝術類,雕刻,新竹生活
,,林漢鼎林漢鼎,,,生命的延續,https://collections.culture.tw/Object.aspx?SYSUID=24&RNO=MjAxNDAxMTA2,國立新竹生活美學館,,藝術類\雕塑,藝術類,雕塑,新竹生活
,,林漢鼎林漢鼎,,,木孕,https://collections.culture.tw/Object.aspx?SYSUID=24&RNO=MjAxNDAxMTA3,國立新竹生活美學館,,藝術類\雕刻,藝術類,雕刻,新竹生活
