AcquiredDate,CreatedYear,Creator,Description,imageUrl_s,MainTitle,url,Owner,Size,Type,sk1,sk2,sk3
,,香港兒童合唱團 音樂總監：凌金園 指揮：唐少偉 伴奏：蘇明村,,,香港兒童合唱團─巡迴演唱會,https://collections.culture.tw/Object.aspx?SYSUID=21&RNO=QzE5ODkwNzAwMg==,國立臺灣交響樂團,,交響樂類\交響樂、室內樂、管樂,交響樂類,交響樂、室內樂、管樂,交響
,,韓國基督教愛樂管弦樂團 指揮：韓炳咸 獨奏：金成美(小提琴)、太品和(鋼琴),,,韓國基督教愛樂管絃樂團─管絃樂演奏會,https://collections.culture.tw/Object.aspx?SYSUID=21&RNO=QzE5ODkwODAwMQ==,國立臺灣交響樂團,,交響樂類\交響樂、室內樂、管樂,交響樂類,交響樂、室內樂、管樂,交響
,,鋼琴：約翰‧葛曼(John Gorman)      威廉‧沃金傑(William Workinger) 女高音：瑪莉安娜‧曼孟(Marielaine Mammon),,,雙鋼琴與女高音之夜,https://collections.culture.tw/Object.aspx?SYSUID=21&RNO=QzE5ODkwODAwMg==,國立臺灣交響樂團,,交響樂類\交響樂、室內樂、管樂,交響樂類,交響樂、室內樂、管樂,交響
,,團長：鄧漢錦 指揮：劉子修,,,臺灣省交響樂團─交響樂之夜,https://collections.culture.tw/Object.aspx?SYSUID=21&RNO=QzE5ODkwOTAwMQ==,國立臺灣交響樂團,,交響樂類\交響樂、室內樂、管樂,交響樂類,交響樂、室內樂、管樂,交響
,,團長：鄧漢錦 客席指揮：麥肯德(Thomas Mcintosh),,,臺灣省交響樂團─定期演奏會,https://collections.culture.tw/Object.aspx?SYSUID=21&RNO=QzE5ODkwOTAwMg==,國立臺灣交響樂團,,交響樂類\交響樂、室內樂、管樂,交響樂類,交響樂、室內樂、管樂,交響
,,長笛：牛效華 法國號：莊思遠 中提琴：陳恒明 低音大提琴：饒大鷗 雙簧管：劉榮義 小提琴：蘇顯達 大提琴：張美玲 鋼琴：蔡佩真,,,靜謐之美─室內樂精品的再現,https://collections.culture.tw/Object.aspx?SYSUID=21&RNO=QzE5ODkwOTAwMw==,國立臺灣交響樂團,,交響樂類\交響樂、室內樂、管樂,交響樂類,交響樂、室內樂、管樂,交響
,,主持：沈錦堂 鋼琴伴奏：林芳瑾,,,中國歌曲的新聲,https://collections.culture.tw/Object.aspx?SYSUID=21&RNO=QzE5ODkxMDAwMQ==,國立臺灣交響樂團,,交響樂類\交響樂、室內樂、管樂,交響樂類,交響樂、室內樂、管樂,交響
,,臺灣省交響樂團 演出人：陳倬民 團長：鄧漢錦 指揮：劉子修,,,巡迴演奏─管弦樂之旅(二),https://collections.culture.tw/Object.aspx?SYSUID=21&RNO=QzE5ODkxMTAwMQ==,國立臺灣交響樂團,,交響樂類\交響樂、室內樂、管樂,交響樂類,交響樂、室內樂、管樂,交響
,,中央合唱團 指揮：劉德義教授 伴奏：張智慧、周安玲 作曲：王嘉寶、范光治、林明輝、金信庸、胡巧芬、張炫文、駱正榮、劉德義、錢南章、戴維后、蘇森墉,,,當代合唱樂展─中國音樂文化探源(五),https://collections.culture.tw/Object.aspx?SYSUID=21&RNO=QzE5ODkxMjAwMQ==,國立臺灣交響樂團,,交響樂類\交響樂、室內樂、管樂,交響樂類,交響樂、室內樂、管樂,交響
,,團長：鄧漢錦 客席指揮：涂惠民 鋼琴獨奏：陳冠宇,,,臺灣省交響樂團─定期音樂會,https://collections.culture.tw/Object.aspx?SYSUID=21&RNO=QzE5ODkxMjAwMg==,國立臺灣交響樂團,,交響樂類\交響樂、室內樂、管樂,交響樂類,交響樂、室內樂、管樂,交響
,,領隊：楊育強 團長：吳朝勝 指揮：邱少彬 敲擊：王本立 笛：陳一平 琵琶：楊寶榮 箏：張美玲 喉管：伍偉文 嗩吶：馬榮城 高胡：蕭錦成 洋琴：吳朝勝,,,香港新聲國樂團/國樂演奏會,https://collections.culture.tw/Object.aspx?SYSUID=21&RNO=QzE5ODkxMjAwMw==,國立臺灣交響樂團,,交響樂類\交響樂、室內樂、管樂,交響樂類,交響樂、室內樂、管樂,交響
,,團長：鄧漢錦 指揮：劉子修 長笛獨奏：任韋光(Wolfgang Renner),,,臺灣省交響樂團─定期演奏會,https://collections.culture.tw/Object.aspx?SYSUID=21&RNO=QzE5OTAwMTAwMQ==,國立臺灣交響樂團,,交響樂類\交響樂、室內樂、管樂,交響樂類,交響樂、室內樂、管樂,交響
